family,model,language,N,complete_pairs,both_correct,a_only_correct,b_only_correct,neither_correct,difference_b_minus_a,difference_ci_low,difference_ci_high,difference_bound_low,difference_bound_high,discordance,equal_numeric_answers,equal_wrong_numeric_answers,mcnemar_p,holm_p
posthoc_format,Qwen/Qwen2.5-7B-Instruct,en,100,100,26,0,67,7,0.67,0.58,0.76,0.67,0.67,0.67,26,0,1.3552527156068805e-20,8.131516293641283e-20
posthoc_format,Qwen/Qwen2.5-7B-Instruct,es,100,99,27,1,55,16,0.5454545454545454,0.4444444444444444,0.6464646464646465,0.54,0.55,0.5656565656565656,28,1,1.582067810090848e-15,6.328271240363392e-15
posthoc_format,Qwen/Qwen2.5-7B-Instruct,zh,100,84,10,0,55,19,0.6547619047619048,0.5476190476190477,0.7619047619047619,0.5,0.67,0.6547619047619048,10,0,5.551115123125783e-17,2.7755575615628914e-16
posthoc_format,mistralai/Mistral-7B-Instruct-v0.3,en,100,4,1,1,1,1,0.0,-0.75,0.75,-0.71,0.6,0.5,2,1,1.0,1
posthoc_format,mistralai/Mistral-7B-Instruct-v0.3,es,100,18,8,0,1,9,0.05555555555555555,0.0,0.16666666666666666,-0.63,0.63,0.05555555555555555,10,2,1.0,1
posthoc_format,mistralai/Mistral-7B-Instruct-v0.3,zh,100,17,4,0,3,10,0.17647058823529413,0.0,0.35294117647058826,-0.46,0.54,0.17647058823529413,6,2,0.25,0.75
